iter	Passed	Remaining
185	475	2082
186	478	2079
187	493	2131
188	494	2122
189	495	2113
190	496	2104
191	498	2095
192	499	2087
193	500	2078
194	509	2105
195	512	2100
196	514	2097
197	516	2093
198	522	2101
199	524	2096
200	525	2089
201	526	2080
202	532	2092
203	534	2086
204	536	2078
205	537	2070
206	547	2095
207	548	2087
208	549	2079
209	550	2071
210	551	2063
211	552	2054
212	553	2045
213	557	2046
214	558	2040
215	560	2033
216	561	2026
217	562	2018
218	563	2009
219	580	2056
220	581	2049
221	582	2041
222	584	2035
223	585	2029
224	588	2026
225	589	2019
226	590	2011
227	591	2003
228	592	1995
229	593	1987
230	594	1978
231	595	1969
232	597	1967
233	598	1959
234	599	1952
235	600	1944
236	601	1935
237	602	1927
238	602	1919
239	603	1911
240	604	1903
241	605	1895
242	605	1887
243	606	1879
244	607	1871
245	608	1864
246	611	1863
247	613	1859
248	615	1856
249	616	1848
250	617	1842
251	618	1836
252	619	1828
253	620	1821
254	621	1814
255	621	1807
256	622	1800
257	623	1793
258	624	1786
259	626	1781
260	627	1777
261	629	1771
262	629	1764
263	630	1757
264	631	1751
265	632	1744
266	632	1737
267	633	1729
268	633	1722
269	634	1715
270	635	1708
271	635	1701
272	636	1694
273	637	1688
274	637	1681
275	638	1674
276	638	1667
277	639	1660
278	646	1671
279	647	1664
280	648	1658
281	648	1651
282	649	1645
283	649	1638
284	650	1631
285	651	1625
286	651	1618
287	652	1612
288	652	1606
289	653	1599
290	654	1593
291	654	1587
292	657	1586
293	658	1581
294	659	1576
295	660	1571
296	661	1566
297	662	1560
298	662	1554
299	663	1548
300	664	1543
301	665	1537
302	665	1531
303	666	1525
304	667	1520
305	667	1514
306	668	1508
307	668	1502
308	669	1497
309	678	1511
310	679	1506
311	680	1501
312	681	1495
313	682	1490
314	682	1484
315	683	1479
316	683	1473
317	684	1468
318	685	1462
319	687	1461
320	689	1457
321	690	1452
322	690	1447
323	692	1444
324	693	1440
325	693	1434
326	694	1429
327	695	1424
328	695	1419
329	696	1414
330	697	1408
331	697	1403
332	698	1398
333	698	1393
334	699	1388
335	700	1383
336	702	1381
337	702	1376
338	703	1372
339	704	1367
340	704	1362
341	705	1357
342	706	1352
343	706	1348
344	707	1343
345	708	1338
346	708	1334
347	709	1329
348	710	1324
349	710	1320
350	711	1315
351	712	1311
352	712	1306
353	713	1302
354	714	1297
355	715	1293
356	720	1297
357	721	1293
358	722	1289
359	722	1284
360	723	1280
361	724	1276
362	725	1272
363	726	1268
364	726	1264
365	727	1260
366	728	1256
367	729	1252
368	730	1248
369	733	1248
370	734	1245
371	735	1241
372	737	1239
373	739	1237
374	740	1233
375	740	1229
376	741	1225
377	742	1221
378	743	1217
379	743	1213
380	744	1209
381	745	1205
382	748	1205
383	749	1201
384	750	1198
385	751	1194
386	751	1190
387	752	1186
388	753	1182
389	753	1178
390	754	1175
391	755	1171
392	755	1167
393	756	1163
394	756	1159
395	757	1155
396	758	1151
397	758	1147
398	759	1143
399	759	1139
400	760	1135
401	765	1139
402	767	1136
403	768	1133
404	769	1130
405	770	1126
406	771	1123
407	771	1119
408	772	1115
409	772	1112
410	773	1108
411	774	1104
412	774	1101
413	775	1097
414	776	1094
415	777	1091
416	778	1088
417	779	1084
418	779	1081
419	780	1077
420	781	1074
421	781	1070
422	782	1067
423	783	1063
424	783	1060
425	784	1056
426	784	1053
427	785	1049
428	785	1046
429	786	1042
430	787	1039
431	787	1035
432	788	1032
433	788	1028
434	789	1025
435	798	1032
436	799	1029
437	799	1026
438	800	1023
439	801	1019
440	801	1016
441	802	1012
442	802	1009
443	803	1006
444	804	1002
445	804	999
446	805	996
447	808	996
448	809	993
449	810	990
450	811	987
451	812	984
452	813	981
453	813	978
454	814	975
455	814	972
456	815	968
